time,q_0,q_1,q_2,q_3,q_4,q_5,tcp_0,tcp_1,tcp_2,extra__pc_ts
2.0,-4.82257063,-1.49077279,1.03981191,3.5541908,4.75753117,0.64535672,0.085138797,-0.494629431,0.859436984,2.0
2.0,-4.82356662,-1.49081017,1.03971321,3.55337827,4.75791645,0.64540201,0.0847,-0.494580266,0.859576469,2.0
2.0,-4.82438451,-1.49072379,1.03955728,3.55271594,4.75836086,0.64537257,0.084345504,-0.49460166,0.859667489,2.0
2.0,-4.82514221,-1.49080246,1.03945381,3.55210225,4.75869989,0.64544231,0.084021245,-0.494521845,0.859809963,2.0
2.0,-4.8258043,-1.49076204,1.03933841,3.5515496,4.75898743,0.64539337,0.083729453,-0.494518991,0.859894534,2.0
2.0,-4.82641679,-1.49072037,1.03923828,3.55112092,4.75927257,0.64538544,0.083459882,-0.49452957,0.859959847,2.0
2.0,-4.82681698,-1.49071102,1.03919202,3.55069749,4.75945044,0.6454019,0.083285553,-0.49451438,0.860016149,2.0
2.0,-4.82722885,-1.49077221,1.0391348,3.55036609,4.75967884,0.64540958,0.083115372,-0.494458019,0.860102566,2.0
2.0,-4.82753116,-1.49069333,1.03912288,3.55014388,4.75979471,0.64541393,0.082974139,-0.494512448,0.860090894,2.0
2.0,-4.82778424,-1.49065715,1.03909427,3.54998033,4.75986671,0.64540195,0.082856136,-0.494534338,0.860101742,2.0
2.0,-4.82785029,-1.49065274,1.03914816,3.54987161,4.75994587,0.64536953,0.082830634,-0.494546885,0.860085741,2.0
2.0,-4.82791454,-1.49065717,1.03909856,3.54984872,4.75988102,0.6453653,0.082794637,-0.494532809,0.8601123,2.0
2.0,-4.82793123,-1.49064195,1.03916008,3.55001847,4.75985718,0.64538908,0.082778718,-0.494578853,0.860061332,2.0
2.0,-4.82795829,-1.49045961,1.0391019,3.55017774,4.75990248,0.64538479,0.082754839,-0.494708388,0.859984358,2.0
2.0,-4.82815117,-1.49034836,1.0391391,3.55031268,4.75990152,0.64539337,0.082647404,-0.494825488,0.859901257,2.0
2.0,-4.82826966,-1.49012788,1.0391391,3.55059688,4.75989294,0.64539778,0.082566388,-0.495017306,0.859767952,2.0
2.0,-4.8284691,-1.48982755,1.03917057,3.55088632,4.75999022,0.64538908,0.082448168,-0.495280908,0.859581379,2.0
2.0,-4.82883114,-1.48955711,1.03912431,3.55137508,4.76000166,0.64540529,0.082243157,-0.495535863,0.859425091,2.0
2.0,-4.82911271,-1.489082,1.03916151,3.55188577,4.7600255,0.64536828,0.082059411,-0.495950771,0.859130309,2.0
2.0,-4.82949287,-1.48871236,1.03919059,3.55253045,4.76009321,0.64538908,0.081838098,-0.496312387,0.858877111,2.0
2.0,-4.82992441,-1.48813035,1.03921444,3.55328433,4.76012897,0.64541286,0.081569131,-0.496834362,0.858512895,2.0
2.0,-4.83039195,-1.48752252,1.03929502,3.55416839,4.76015758,0.64539337,0.081275547,-0.497405292,0.858097841,2.0
2.0,-4.83092434,-1.48691791,1.03933555,3.55511825,4.7602458,0.64540195,0.080955817,-0.497975006,0.857695518,2.0
2.0,-4.83147079,-1.4861426,1.03938371,3.55620162,4.76033401,0.64538121,0.080612354,-0.498678759,0.857193551,2.0
2.0,-4.83204264,-1.48547568,1.03942234,3.55730407,4.76038074,0.64538538,0.080260561,-0.499308037,0.85674605,2.0
2.0,-4.83267337,-1.48480801,1.03951961,3.5584871,4.76044512,0.6453653,0.079877444,-0.499965894,0.856263376,2.0
2.0,-4.83336896,-1.48401581,1.03955442,3.55985896,4.76052141,0.64541817,0.079451379,-0.500716267,0.855729221,2.0
2.0,-4.83407528,-1.48319041,1.03958589,3.56124084,4.76060104,0.64540195,0.079016506,-0.501489392,0.855178514,2.0
2.0,-4.83490712,-1.48234369,1.03969556,3.56273381,4.76064014,0.64540535,0.078507784,-0.502317714,0.854570379,2.0
2.0,-4.83574599,-1.48135675,1.03979141,3.56433122,4.7607727,0.64539778,0.077990613,-0.503248969,0.853888505,2.0
2.0,-4.83660776,-1.48032741,1.03984624,3.56603114,4.7608242,0.64536095,0.07744885,-0.504208189,0.853193076,2.0
2.0,-4.83755547,-1.47929493,1.03994733,3.56783168,4.76093292,0.64536524,0.076864754,-0.505197181,0.852463842,2.0
2.0,-4.8385138,-1.47818305,1.03999359,3.56975476,4.76095915,0.64539772,0.076258732,-0.506236409,0.85170682,2.0
2.0,-4.83947164,-1.47699446,1.04016,3.571788,4.7611084,0.64538121,0.075651148,-0.507369482,0.850844728,2.0
2.0,-4.84054643,-1.47576678,1.04022295,3.57387559,4.76123667,0.64538121,0.074979441,-0.508513499,0.850002922,2.0
2.0,-4.84166533,-1.47435829,1.04031259,3.57604377,4.76130009,0.64539772,0.074258546,-0.50979576,0.849049245,2.0
2.0,-4.84283728,-1.47302646,1.04044611,3.57818715,4.76137543,0.64540195,0.07351497,-0.511035709,0.848113615,2.0
2.0,-4.84399814,-1.4716099,1.04059154,3.58046357,4.76153231,0.64532429,0.072772719,-0.512346053,0.847114565,2.0
2.0,-4.84521944,-1.47018892,1.04070694,3.58275764,4.76161528,0.64540529,0.071989872,-0.513653616,0.846122601,2.0
2.0,-4.84657079,-1.46874071,1.04077751,3.58510177,4.7617836,0.64536095,0.071144084,-0.514979371,0.84512975,2.0
